Datetime,Water Level (m)
2023-07-03 06:00:00,2.0941553
2023-07-03 07:00:00,2.1623433
2023-07-03 08:00:00,2.2210999
2023-07-03 09:00:00,2.2210999
2023-07-03 10:00:00,2.326752
2023-07-03 11:00:00,2.3950553
2023-07-03 12:00:00,2.460844
2023-07-03 13:00:00,2.551255
2023-07-03 14:00:00,2.6585412
2023-07-03 15:00:00,2.7655063
2023-07-03 16:00:00,2.8551364
2023-07-03 17:00:00,2.893645
2023-07-03 18:00:00,2.9533687
2023-07-03 19:00:00,2.9883673
2023-07-03 20:00:00,3.0299687
2023-07-03 21:00:00,3.0499341
2023-07-03 22:00:00,3.0746288
2023-07-03 23:00:00,3.0977285
2023-07-04 00:00:00,3.121226
2023-07-04 01:00:00,3.1537528
2023-07-04 02:00:00,3.1998591
2023-07-04 03:00:00,3.2630334
2023-07-04 04:00:00,3.3196795
2023-07-04 05:00:00,3.3531144
2023-07-04 06:00:00,3.3763976
2023-07-04 07:00:00,3.3977
2023-07-04 08:00:00,3.4118462
2023-07-04 09:00:00,3.424007
2023-07-04 10:00:00,3.433691
2023-07-04 11:00:00,3.4427302
2023-07-04 12:00:00,3.4536114
2023-07-04 13:00:00,3.476243
2023-07-04 14:00:00,3.5201511
2023-07-04 15:00:00,3.593397
2023-07-04 16:00:00,3.664339
2023-07-04 17:00:00,3.70749
2023-07-04 18:00:00,3.7233055
2023-07-04 19:00:00,3.7267146
2023-07-04 20:00:00,3.7316456
2023-07-04 21:00:00,3.7320528
2023-07-04 22:00:00,3.7319293
2023-07-04 23:00:00,3.7299778
2023-07-05 00:00:00,3.7276475
2023-07-05 01:00:00,3.728245
2023-07-05 02:00:00,3.741906
2023-07-05 03:00:00,3.773636
2023-07-05 04:00:00,3.8138447
2023-07-05 05:00:00,3.8433993
2023-07-05 06:00:00,3.85868
2023-07-05 07:00:00,3.8662772
2023-07-05 08:00:00,3.868402
2023-07-05 09:00:00,3.870187
2023-07-05 10:00:00,3.8708193
2023-07-05 11:00:00,3.8680472
2023-07-05 12:00:00,3.8615375
2023-07-05 13:00:00,3.8626132
2023-07-05 14:00:00,3.8854158
2023-07-05 15:00:00,3.9406605
2023-07-05 16:00:00,4.005028
2023-07-05 17:00:00,4.0546436
2023-07-05 18:00:00,4.0727487
2023-07-05 19:00:00,4.077166
2023-07-05 20:00:00,4.0741606
2023-07-05 21:00:00,4.0680733
2023-07-05 22:00:00,4.059925
2023-07-05 23:00:00,4.050885
2023-07-06 00:00:00,4.0409775
2023-07-06 01:00:00,4.032234
2023-07-06 02:00:00,4.0354486
2023-07-06 03:00:00,4.05955
2023-07-06 04:00:00,4.1028495
2023-07-06 05:00:00,4.14545
2023-07-06 06:00:00,4.1657367
2023-07-06 07:00:00,4.1726685
2023-07-06 08:00:00,4.1700397
2023-07-06 09:00:00,4.1638174
2023-07-06 10:00:00,4.15374
2023-07-06 11:00:00,4.142216
2023-07-06 12:00:00,4.1300383
2023-07-06 13:00:00,4.1195993
2023-07-06 14:00:00,4.1188235
2023-07-06 15:00:00,4.1432586
2023-07-06 16:00:00,4.1959004
2023-07-06 17:00:00,4.250492
2023-07-06 18:00:00,4.2809052
2023-07-06 19:00:00,4.2839966
2023-07-06 20:00:00,4.2761283
2023-07-06 21:00:00,4.2666445
2023-07-06 22:00:00,4.2549286
2023-07-06 23:00:00,4.241142
2023-07-07 00:00:00,4.2260118
2023-07-07 01:00:00,4.211272
2023-07-07 02:00:00,4.198882
2023-07-07 03:00:00,4.193816
2023-07-07 04:00:00,4.208258
2023-07-07 05:00:00,4.2373996
2023-07-07 06:00:00,4.262782
2023-07-07 07:00:00,4.2691607
2023-07-07 08:00:00,4.2663255
2023-07-07 09:00:00,4.2609534
2023-07-07 10:00:00,4.2553062
2023-07-07 11:00:00,4.2482586
2023-07-07 12:00:00,4.236716
2023-07-07 13:00:00,4.2229323
2023-07-07 14:00:00,4.2115183
2023-07-07 15:00:00,4.209594
2023-07-07 16:00:00,4.226511
2023-07-07 17:00:00,4.2649393
2023-07-07 18:00:00,4.306855
2023-07-07 19:00:00,4.327729
2023-07-07 20:00:00,4.3308444
2023-07-07 21:00:00,4.3267436
2023-07-07 22:00:00,4.3194823
2023-07-07 23:00:00,4.3096943
2023-07-08 00:00:00,4.297499
2023-07-08 01:00:00,4.2853866
2023-07-08 02:00:00,4.273639
2023-07-08 03:00:00,4.2630715
2023-07-08 04:00:00,4.258379
2023-07-08 05:00:00,4.2671285
2023-07-08 06:00:00,4.288084
2023-07-08 07:00:00,4.3065395
2023-07-08 08:00:00,4.316332
2023-07-08 09:00:00,4.3182564
2023-07-08 10:00:00,4.3145165
2023-07-08 11:00:00,4.308226
2023-07-08 12:00:00,4.3011026
2023-07-08 13:00:00,4.2914853
2023-07-08 14:00:00,4.281061
2023-07-08 15:00:00,4.272546
2023-07-08 16:00:00,4.271496
2023-07-08 17:00:00,4.284993
2023-07-08 18:00:00,4.3145466
2023-07-08 19:00:00,4.3438454
2023-07-08 20:00:00,4.360681
2023-07-08 21:00:00,4.3656273
2023-07-08 22:00:00,4.3641386
2023-07-08 23:00:00,4.3598166
2023-07-09 00:00:00,4.3533306
2023-07-09 01:00:00,4.345536
2023-07-09 02:00:00,4.3375874
2023-07-09 03:00:00,4.3288727
2023-07-09 04:00:00,4.3215666
2023-07-09 05:00:00,4.3220057
2023-07-09 06:00:00,4.335062
